run_id,epoch,val_loss,class1,class2,class3,early_epoch,val_loss_at_early_epoch
5k3zeuh2,96,0.3875877559185028,centipede,Saluki,chickadee,24,
niadw3lx,97,0.9007556438446044,robin,centipede,green_snake,22,
8m438266,110,0.963916838169098,projectile,barrow,flagpole,20,
v559mnxt,92,0.686855673789978,gas_pump,trolleybus,diaper,22,
s8bxu9y3,110,1.4458667039871216,gazelle,lumbermill,zucchini,23,
yze3hn5r,114,0.1688391864299774,Pomeranian,obelisk,ballpoint,18,
dra9uzqm,93,0.4755343496799469,desktop_computer,prayer_rug,sports_car,15,
29rctsr6,85,1.4292348623275757,pop_bottle,sea_urchin,trombone,15,
4z5ky3w5,91,0.2534043788909912,Appenzeller,china_cabinet,stingray,24,
w7025g0t,109,0.0,water_buffalo,American_chameleon,Australian_terrier,18,
ru971rpv,100,0.4084801971912384,maillot,spaghetti_squash,dome,21,
f1fbqggg,108,0.6756262183189392,broccoli,limousine,coffee_mug,16,
xtoshipi,125,0.8426628708839417,oil_filter,mask,marmot,17,
rbt4j8yy,102,1.1496609658934176e-05,odometer,Windsor_tie,Scotch_terrier,15,
asdrfi1d,86,0.5590087175369263,ladle,admiral,park_bench,19,
prfrs3hz,114,0.6269057989120483,quill,sea_slug,odometer,15,
12755l05,99,0.3549388945102691,long-horned_beetle,Ibizan_hound,hamster,22,
2fhbz7zf,112,0.9415611028671264,cock,mask,howler_monkey,15,
0rxa82ki,114,0.3502756953239441,web_site,maillot,red_wine,15,
cz802y4r,84,0.7576537132263184,swimming_trunks,typewriter_keyboard,bib,16,
4zqemsgf,119,1.285802125930786,kit_fox,rock_crab,buckeye,16,
pp15lgeu,112,1.464863419532776,tailed_frog,whippet,Appenzeller,20,
bbc7en74,89,0.8537994027137756,saltshaker,plane,burrito,21,
r87w6rhe,103,0.6736103296279907,mosquito_net,chain,dining_table,19,
5suilr51,102,1.124933838844299,aircraft_carrier,Newfoundland,submarine,15,
slu8okzc,99,0.8197913765907288,burrito,hair_slide,tennis_ball,15,
mpnp3drd,112,5.746989727020264,ram,Norfolk_terrier,handkerchief,17,
z9bcuy44,120,0.5505278706550598,axolotl,cardigan,West_Highland_white_terrier,16,
ai5jyb6c,99,2.508809804916382,bottlecap,lighter,bathing_cap,19,
r2yhl0gl,118,0.8960960507392883,hare,beagle,spatula,24,
wl40lv3p,113,0.8279593586921692,rock_python,tennis_ball,car_wheel,20,
6kcf2rci,102,1.4767593711439986e-05,American_Staffordshire_terrier,Model_T,rifle,21,
lc1s4xi4,101,0.6585643291473389,lotion,ladybug,red-backed_sandpiper,18,
j6hgrwvz,81,0.8783677220344543,lens_cap,platypus,saltshaker,21,
13xxahfk,76,0.2430951744318008,web_site,book_jacket,jean,22,
oq7gpgwc,101,0.3294473886489868,butcher_shop,cheetah,plate_rack,15,
egcsfpix,86,0.5639704465866089,lemon,macaw,apiary,20,
fuztf15y,98,0.4657907783985138,vacuum,cock,tench,22,
59i9znjp,90,0.8912443518638611,maze,stethoscope,banded_gecko,19,
