run_id,run_name,class1,class2,class3,artifact_name,val_loss
2fhbz7zf,easy-snowball-138,cock,mask,howler_monkey,CUFwHQhSPamb7DSLqVC95R_14.pth,0.6316141486167908
2fhbz7zf,easy-snowball-138,cock,mask,howler_monkey,CUFwHQhSPamb7DSLqVC95R_113.pth,0.9415611028671264
0rxa82ki,unique-armadillo-139,web_site,maillot,red_wine,M2xgq77mmDYg3mj3zLgnY3_14.pth,0.5420124530792236
0rxa82ki,unique-armadillo-139,web_site,maillot,red_wine,M2xgq77mmDYg3mj3zLgnY3_115.pth,0.3502756953239441
cz802y4r,pleasant-puddle-140,swimming_trunks,typewriter_keyboard,bib,NSiBkj3qDqFGax3AyQB5Vo_15.pth,0.7460153698921204
cz802y4r,pleasant-puddle-140,swimming_trunks,typewriter_keyboard,bib,NSiBkj3qDqFGax3AyQB5Vo_85.pth,0.7576537132263184
4zqemsgf,faithful-plant-141,kit_fox,rock_crab,buckeye,iqkwLbPysQAUK4PZwVFmvV_15.pth,1.1158162355422974
4zqemsgf,faithful-plant-141,kit_fox,rock_crab,buckeye,iqkwLbPysQAUK4PZwVFmvV_120.pth,1.285802125930786
pp15lgeu,daily-plant-142,tailed_frog,whippet,appenzeller,4S9fZJEzmB9wLQA3haYFqf_19.pth,0.6771297454833984
pp15lgeu,daily-plant-142,tailed_frog,whippet,appenzeller,4S9fZJEzmB9wLQA3haYFqf_113.pth,1.464863419532776
bbc7en74,misunderstood-planet-143,saltshaker,plane,burrito,Po4Y99KMBtAWxFcu3CR5Dg_20.pth,0.674535870552063
bbc7en74,misunderstood-planet-143,saltshaker,plane,burrito,Po4Y99KMBtAWxFcu3CR5Dg_90.pth,0.8537994027137756
r87w6rhe,charmed-microwave-144,mosquito_net,chain,dining_table,jergcm46KH7pmCTDdBzd6B_18.pth,0.931126594543457
r87w6rhe,charmed-microwave-144,mosquito_net,chain,dining_table,jergcm46KH7pmCTDdBzd6B_104.pth,0.6736103296279907
5suilr51,hearty-cherry-145,aircraft_carrier,newfoundland,submarine,7vVYG6jA4MyRDmWxzpnBEf_14.pth,0.6928701996803284
5suilr51,hearty-cherry-145,aircraft_carrier,newfoundland,submarine,7vVYG6jA4MyRDmWxzpnBEf_103.pth,1.124933838844299
slu8okzc,denim-night-146,burrito,hair_slide,tennis_ball,dnAefztxJnTkmBEFiy6Vm6_14.pth,0.638556957244873
slu8okzc,denim-night-146,burrito,hair_slide,tennis_ball,dnAefztxJnTkmBEFiy6Vm6_100.pth,0.8197913765907288
mpnp3drd,swept-energy-147,ram,norfolk_terrier,handkerchief,oNFGxodZu4jt7Mx8AEdMtL_16.pth,0.7455334663391113
mpnp3drd,swept-energy-147,ram,norfolk_terrier,handkerchief,oNFGxodZu4jt7Mx8AEdMtL_113.pth,5.746989727020264
z9bcuy44,ruby-smoke-148,axolotl,cardigan,west_highland_white_terrier,Xv77ecY2gmNYEJ3Dc64gBF_15.pth,0.2845108807086944
z9bcuy44,ruby-smoke-148,axolotl,cardigan,west_highland_white_terrier,Xv77ecY2gmNYEJ3Dc64gBF_121.pth,0.5505278706550598
ai5jyb6c,dazzling-donkey-149,bottlecap,lighter,bathing_cap,oR2w93iaibz99fkYLhKFL6_18.pth,1.5456087589263916
ai5jyb6c,dazzling-donkey-149,bottlecap,lighter,bathing_cap,oR2w93iaibz99fkYLhKFL6_100.pth,2.508809804916382
