Name,ID,data.classes,seed,optimizer_name,epoch,training.early_epoch,training.max_epoch,val_accuracy,val_loss,calculated_mean,calculated_std,artifacts
cryptic-werewolf-1225,ajm4pjs5,"[ibizan_hound,chambered_nautilus,limpkin]",5463,SGD,30,18,31,0.8588957190513611,0.5662863850593567,"[0.4425867199897766, 0.4338662028312683, 0.3589586615562439]","[0.26761332154273987, 0.25864478945732117, 0.26638755202293396]","['ZHVRVZ6BEf46KteBRNYT4S_17.pth', 'ZHVRVZ6BEf46KteBRNYT4S_31.pth']"
mystical-coffin-1224,d18v85i7,"[siamese_cat,barn_spider,planetarium]",2568,SGD,53,10,54,0.6805348992347717,2.454278945922852,"[0.46191611886024475, 0.44481518864631653, 0.41914498805999756]","[0.2762298285961151, 0.27048346400260925, 0.28698787093162537]","['JTap33AwrufszHfJt4iGAT_9.pth', 'JTap33AwrufszHfJt4iGAT_54.pth']"
unraveling-magic-1223,5ywlkak9,"[police_van,sea_slug,missile]",8006,Adam,44,18,45,0.9029126167297364,0.4574439823627472,"[0.44108495116233826, 0.42570066452026367, 0.3886612355709076]","[0.27649202942848206, 0.26693373918533325, 0.28209730982780457]","['7ZqnfvQdcVP23awQZytKHL_17.pth', '7ZqnfvQdcVP23awQZytKHL_45.pth']"
faded-monster-1222,rw74m9f9,"[strawberry,running_shoe,dock]",64,Adam,57,12,58,0.8751608729362488,0.6828519105911255,"[0.5433788895606995, 0.4571095108985901, 0.4279397428035736]","[0.2903142273426056, 0.30097031593322754, 0.3161642253398895]","['Ee6vPtLtVHWr9fHW32he4F_11.pth', 'Ee6vPtLtVHWr9fHW32he4F_58.pth']"
possessed-werewolf-1221,2lvqblr1,"[tow_truck,vacuum,mixing_bowl]",2062,Adam,58,10,59,0.8401880264282227,0.8526326417922974,"[0.5581650137901306, 0.5332342386245728, 0.5041647553443909]","[0.30544453859329224, 0.3094152808189392, 0.32433974742889404]","['CpZQ6X3Hkeg8qWFvBkx4Wa_9.pth', 'CpZQ6X3Hkeg8qWFvBkx4Wa_59.pth']"
endless-possession-1220,kxmxi87w,"[airedale,breakwater,barn_spider]",5276,Adam,32,16,33,0.6209552884101868,2.0450735092163086,"[0.4723000228404999, 0.47248998284339905, 0.44058823585510254]","[0.2591454088687897, 0.25481128692626953, 0.27766749262809753]","['P6s7khRPJzSQZCiBs8rFTL_15.pth', 'P6s7khRPJzSQZCiBs8rFTL_33.pth']"
ghoulish-fantasy-1219,hhfxdaly,"[necklace,mashed_potato,pajama]",7208,Adam,66,18,67,0.888010561466217,0.6348965167999268,"[0.566736102104187, 0.5018672943115234, 0.4465371072292328]","[0.27817511558532715, 0.2826438248157501, 0.2951779067516327]","['ePZZH36doz3RPjmETdaTxo_17.pth', 'ePZZH36doz3RPjmETdaTxo_67.pth']"
grim-possession-1218,m7xtu97v,"[cellular_telephone,police_van,vacuum]",8684,Adam,43,17,44,0.7552693486213684,1.3699195384979248,"[0.5273363590240479, 0.5088393092155457, 0.4896063208580017]","[0.3216829299926758, 0.32149577140808105, 0.33098098635673523]","['XePQuYNX2yFLnkWv4aFs3H_16.pth', 'XePQuYNX2yFLnkWv4aFs3H_44.pth']"
distant-claw-1217,sxzcaxx1,"[canoe,strawberry,barn_spider]",8571,SGD,55,13,56,0.8764880895614624,0.5271666646003723,"[0.5211530327796936, 0.42717814445495605, 0.37695375084877014]","[0.28626132011413574, 0.2853430509567261, 0.29714322090148926]","['azLB4obAdfZ2FPJVwoibKo_12.pth', 'azLB4obAdfZ2FPJVwoibKo_56.pth']"
abominable-incantation-1216,5xklr91e,"[running_shoe,pick,maillot]",6331,Adam,59,19,60,0.7609970569610596,1.4079101085662842,"[0.54449862241745, 0.5043012499809265, 0.47658783197402954]","[0.3100104331970215, 0.3110612630844116, 0.3234504163265228]","['RLWSfuoAhxSACt2NEG6xCy_18.pth', 'RLWSfuoAhxSACt2NEG6xCy_60.pth']"
venomous-shroud-1215,jcz339vg,"[wire-haired_fox_terrier,dock,strawberry]",4859,SGD,43,11,44,0.91304349899292,0.4499649703502655,"[0.5459834933280945, 0.44223660230636597, 0.40991413593292236]","[0.28204455971717834, 0.2926189601421356, 0.3086382746696472]","['Zhdme3mCqqZnYqms3VxLTi_10.pth', 'Zhdme3mCqqZnYqms3VxLTi_44.pth']"
macabre-darkness-1214,2yk3aoj4,"[breakwater,maillot,running_shoe]",4887,Adam,45,12,46,0.8824362754821777,0.644342303276062,"[0.5185317993164062, 0.5118065476417542, 0.5043292045593262]","[0.28137263655662537, 0.2795310616493225, 0.29744952917099]","['e6EE6zvmBRtAGNYKhb7TDd_11.pth', 'e6EE6zvmBRtAGNYKhb7TDd_46.pth']"
distant-fang-1213,qr9o9dbi,"[barometer,mashed_potato,ibizan_hound]",9268,SGD,59,16,60,0.8179148435592651,0.6946337819099426,"[0.5260639786720276, 0.47696560621261597, 0.3997044265270233]","[0.2736942172050476, 0.2739083468914032, 0.28746914863586426]","['bGY3USiecLc5ebm45LaSSU_15.pth', 'bGY3USiecLc5ebm45LaSSU_60.pth']"
