run_id,run_name,class1,class2,class3,early_epoch,max_epoch,val_loss,weights,downloaded_artifacts,early_epoch_val_loss
qmg3l98i,winter-pine-97,labrador_retriever,abacus,shower_curtain,16,119,0.5808954238891602,"XbvSgy42JshPQWKPvMr5jV_15.pth, XbvSgy42JshPQWKPvMr5jV_119.pth",,0.27034619450569153
g0pm96v6,twilight-terrain-98,missile,chow,triceratops,24,111,1.371448278427124,"EAV4Gc8G2iVpQbj3dh347v_23.pth, EAV4Gc8G2iVpQbj3dh347v_111.pth",,0.7120264172554016
he844hvw,giddy-cosmos-99,junco,moped,pizza,23,85,0.209503710269928,"2oSoxznRePKBZDPtWns2ey_22.pth, 2oSoxznRePKBZDPtWns2ey_85.pth",,0.5725822448730469
q88j7z6a,morning-dragon-100,chiton,barbershop,radiator,19,88,1.0982396602630615,"aKQSSAJukeiBg4XfTo8BBs_18.pth, aKQSSAJukeiBg4XfTo8BBs_88.pth",,1.9135665893554688
ddr6engc,jumping-glade-101,starfish,prison,organ,20,83,1.2453913688659668,"Jay4yAnwzjfQYRSjyyDjmc_19.pth, Jay4yAnwzjfQYRSjyyDjmc_83.pth",,1.0920698642730713
y91g0dzp,sparkling-armadillo-102,dough,holster,water_tower,18,111,0.6655586957931519,"aKLQros94ktn2UuGJMKS9X_17.pth, aKLQros94ktn2UuGJMKS9X_111.pth",,0.3486497402191162
sp461i8q,genial-monkey-103,coyote,fireboat,pencil_box,24,119,0.5151117444038391,"Sfp6RmMTWcy8sVc6Q2uW4P_23.pth, Sfp6RmMTWcy8sVc6Q2uW4P_119.pth",,0.5867420434951782
563atagr,lively-leaf-104,airedale,trench_coat,jackfruit,21,106,1.2456228733062744,"jZSpvaugGNtgYce6SD9w9n_20.pth, jZSpvaugGNtgYce6SD9w9n_106.pth",,0.3531978726387024
q412hmp0,drawn-sponge-105,lorikeet,go-kart,schipperke,23,114,0.6364515423774719,"JKZ8ozYqUbL5bUFMQgp4PS_22.pth, JKZ8ozYqUbL5bUFMQgp4PS_114.pth",,0.2973204255104065
l95u5txn,grateful-gorge-106,platypus,volleyball,diaper,21,86,0.6910072565078735,"fSzDFowvyudnWa4xKgryP3_20.pth, fSzDFowvyudnWa4xKgryP3_86.pth",,0.6406259536743164
lbtoi3wf,solar-surf-107,hair_slide,crate,head_cabbage,15,102,0.8096219897270203,"VNrFMadYLBwerwyGd8CckS_14.pth, VNrFMadYLBwerwyGd8CckS_102.pth",,0.8366484045982361
b16bxqa4,stellar-firefly-108,banana,wombat,wok,15,79,0.424321562051773,"8iN7R3CDX4vebC3rHQPHQf_14.pth, 8iN7R3CDX4vebC3rHQPHQf_79.pth",,0.475149929523468
oeivrvmv,laced-leaf-109,electric_fan,quail,washbasin,23,88,1.2862963676452637,"KHynfmwBS49P2twAkwa5nd_22.pth, KHynfmwBS49P2twAkwa5nd_88.pth",,1.240770936012268
w84v3ltd,devoted-bird-110,overskirt,iron,gila_monster,23,113,0.4283169507980346,"QNNK7sGXxcANuzhLZJR3Yj_22.pth, QNNK7sGXxcANuzhLZJR3Yj_113.pth",,0.6126047968864441
ychbuqn5,colorful-microwave-111,hog,model_t,pug,18,96,0.5639842748641968,"8r79tVFGfKUMAx6cykCr3S_17.pth, 8r79tVFGfKUMAx6cykCr3S_96.pth",,0.9645398259162903
eds7733m,gallant-bird-112,dogsled,manhole_cover,pick,23,118,0.3693817257881164,"aotc6DJzeTxejFT3oRjJdS_22.pth, aotc6DJzeTxejFT3oRjJdS_118.pth",,0.2909157872200012
at8nagug,rich-frog-113,notebook,limousine,tub,17,108,1.650282859802246,"TEuNrjzj8PnF7zUEo5P53R_16.pth, TEuNrjzj8PnF7zUEo5P53R_108.pth",,0.7013183832168579
bs4phmpl,genial-flower-114,mousetrap,pelican,minibus,21,141,5.675634860992432,"VvGLrGmy3XpnoRt5SkVqDf_20.pth, VvGLrGmy3XpnoRt5SkVqDf_141.pth",,0.8836454749107361
583dhvyk,astral-waterfall-115,maypole,macaw,letter_opener,20,101,0.6881299018859863,"3vQtwoQmLto93TcfwrKGxb_19.pth, 3vQtwoQmLto93TcfwrKGxb_101.pth",,0.23200157284736633
fd8gj904,warm-pond-116,starfish,capuchin,analog_clock,22,78,1.1741573810577393,"9QrkPaTPjDeWDPxLKLGL7G_21.pth, 9QrkPaTPjDeWDPxLKLGL7G_78.pth",,0.823527455329895
v64s5qrx,prime-oath-117,oxygen_mask,clumber,book_jacket,23,99,0.9270206689834596,"TNzd2YZhEN5ciZmwdnTS6u_22.pth, TNzd2YZhEN5ciZmwdnTS6u_99.pth",,0.7559253573417664
c6o514lw,worldly-salad-118,miniature_poodle,trolleybus,boston_bull,19,85,0.0921819061040878,"NZppNzVHxX3NdE57y4D47g_18.pth, NZppNzVHxX3NdE57y4D47g_85.pth",,0.12438013404607773
fclc3zzk,dulcet-frog-119,hamster,monarch,angora,15,114,0.1653335094451904,"MmYWSQJ3Rp3UTN9Q75HBkv_14.pth, MmYWSQJ3Rp3UTN9Q75HBkv_114.pth",,0.20497973263263702
3exiifvc,snowy-thunder-120,hen-of-the-woods,lumbermill,ruddy_turnstone,17,100,0.8612038493156433,"NXF3u7ayvYoW2BsxJJ3jBC_16.pth, NXF3u7ayvYoW2BsxJJ3jBC_100.pth",,1.1039328575134277
5k3zeuh2,honest-durian-121,centipede,saluki,chickadee,24,97,0.3875877559185028,"gLaFDFrqqxfVW9QbcuwdJJ_23.pth, gLaFDFrqqxfVW9QbcuwdJJ_97.pth",,0.2684493660926819
niadw3lx,stilted-wave-122,robin,centipede,green_snake,22,98,0.9007556438446044,"YptA2QDsrgfKcFLHiiaWgZ_21.pth, YptA2QDsrgfKcFLHiiaWgZ_98.pth",,0.9786088466644287
8m438266,wild-voice-123,projectile,barrow,flagpole,20,111,0.963916838169098,"ZegN2NHjXqcRXaT5djHHmx_19.pth, ZegN2NHjXqcRXaT5djHHmx_111.pth",,1.1156970262527466
v559mnxt,hardy-sea-124,gas_pump,trolleybus,diaper,22,93,0.686855673789978,"Pde3rJYcxgvoStheMYodD8_21.pth, Pde3rJYcxgvoStheMYodD8_93.pth",,2.4424304962158203
s8bxu9y3,lilac-wind-125,gazelle,lumbermill,zucchini,23,111,1.4458667039871216,"iN8CZ35M5fi6M5Rob2E3Xk_22.pth, iN8CZ35M5fi6M5Rob2E3Xk_111.pth",,0.6634348630905151
yze3hn5r,zany-deluge-126,pomeranian,obelisk,ballpoint,18,115,0.1688391864299774,"QL9RvU7X5aEEBiuugDvsdn_17.pth, QL9RvU7X5aEEBiuugDvsdn_115.pth",,0.5435312986373901
dra9uzqm,lively-wood-127,desktop_computer,prayer_rug,sports_car,15,94,0.4755343496799469,"NSa6sskSY2yk9Wp3zuBTPL_14.pth, NSa6sskSY2yk9Wp3zuBTPL_94.pth",,0.38469910621643066
29rctsr6,rosy-salad-128,pop_bottle,sea_urchin,trombone,15,86,1.4292348623275757,"GzJjTnvW77DnV2QWGhpYu8_14.pth, GzJjTnvW77DnV2QWGhpYu8_86.pth",,0.6647663712501526
4z5ky3w5,light-brook-129,appenzeller,china_cabinet,stingray,24,92,0.2534043788909912,"o3Jf8tAKfT9wncvu4DWqo3_23.pth, o3Jf8tAKfT9wncvu4DWqo3_92.pth",,0.12323513627052307
w7025g0t,visionary-spaceship-130,water_buffalo,american_chameleon,australian_terrier,18,110,0.0,"dfuPA6js3BYrkQcxvM7fUf_17.pth, dfuPA6js3BYrkQcxvM7fUf_110.pth",,0.0
ru971rpv,laced-fire-131,maillot,spaghetti_squash,dome,21,101,0.4084801971912384,"AvXbiaBimU2bHLx9bvxYhc_20.pth, AvXbiaBimU2bHLx9bvxYhc_101.pth",,0.19811706244945526
f1fbqggg,comic-spaceship-132,broccoli,limousine,coffee_mug,16,109,0.6756262183189392,"3HCw9aF9Cm5rZ7KCqh6nWa_15.pth, 3HCw9aF9Cm5rZ7KCqh6nWa_109.pth",,0.7221707105636597
xtoshipi,dulcet-morning-133,oil_filter,mask,marmot,17,126,0.8426628708839417,"aJ3BVF4NWTrQQGAgDYBb7U_16.pth, aJ3BVF4NWTrQQGAgDYBb7U_126.pth",,0.5451710820198059
rbt4j8yy,brisk-moon-134,odometer,windsor_tie,scotch_terrier,15,103,1.1496609658934176e-05,"3owvHVMaoWgXmMojKE93Wd_14.pth, 3owvHVMaoWgXmMojKE93Wd_103.pth",,6.098696758272126e-06
asdrfi1d,unique-sunset-135,ladle,admiral,park_bench,19,87,0.5590087175369263,"eoD53aHNFRLmfdyaTYEKhe_18.pth, eoD53aHNFRLmfdyaTYEKhe_87.pth",,0.5281240940093994
prfrs3hz,fresh-blaze-136,quill,sea_slug,odometer,15,115,0.6269057989120483,"NoaVr9YamUbw4WEem7Q8Ps_14.pth, NoaVr9YamUbw4WEem7Q8Ps_115.pth",,0.7646942138671875
